 "Product Name", "Sell Price" 
 "GRUPO SANGUINEO Y FACTOR RH", "90" 
 "HELICOBACTER PILORY EN HECES FECALES", "480" 
 "HELICOBACTER PILORY IgA", "810" 
 "HELICOBACTER PILORY IgG,", "735" 
 "HELICOBACTER PILORY IgM", "735" 
 "Ac Anti Helicobacter pylori IgG e IgA", "950" 
 "HOMOCISTEINA", "750" 
 "INTERLUCINA", "1,039" 
 "LIPIDOS TOTALES", "220" 
 "LITIO", "230" 
 "MICROALBUMINURIA", "300" 
 "NT-PROBNT (PRUEBA BNP)", "1,050" 
 "MONOTEST", "300" 
 "NITROGENO UREICO", "80" 
 "PCR PVH (PAPILOMA)", "1,600" 
 "PCR de Toxina A y B cloatridium difficile", "900" 
 "PCR MARCADOR INFECCIOSO", "600" 
 "Péptido C en Suero", "600" 
 "Perfil de Alérgenos Alimenticios", "2,400" 
 "Perfil de Alérgenos Alimenticios e Inhalatorios", "4,660" 
 "Perfil de alérgenos contra Antibióticos", "0" 
 "Perfil de Alérgenos Inhalatorios", "2,400" 
 "PERFIL DE HEPATITIS (A,B,C)", "3,100" 
 "PERFIL DE AC DE HEP. (ABC)", "1,700" 
 "Perfil de Inmunoglobulinas (4) IgG, IgA, IgM, IgE", "950" 
 "PERFIL DE HIERRO(HIERRO,FERRITINA,TRANSFERRINA)", "0" 
 "Perfil de TORCH IgG e IgM", "2,800" 
 "Perfil de TORCH IgG", "1,400" 
 "PERFIL DROGAS (PADRES DE FAMILIA)", "350" 
 "PERFIL HORMONAL FEMENINO  I", "1,200" 
 "QUIMICA SANGUINEA-4 ELEMENTOS", "200" 
 "Perfil Hormonal III", "1,850" 
 "PERFIL HORMONAL MASCULINO", "1,600" 
 "PERFIL RENAL", "550" 
 "PERFIL TIROIDEO ", "900" 
 "PERFIL TIROIDEO CON TIROGLOBULINA", "1,000" 
 "PERFIL DE EPSTEIN BAAR", "1,800" 
 "PRUEBA FUNCIONAL HEPATICA 2 (PFH,GGT,DHL)", "700" 
 "PRUEBA FUNCIONAL HEPATICA PFH (1 ) ", "300" 
 "PRENUPCIAL INDIVIDUAL", "380" 
 "PRENUPCIALES X 2 (VIH,VDRL,TIPO Y RH)", "600" 
 "PROGESTERONA", "340" 
 "PROLACTINA", "340" 
 "PROTEINA C REACTIVA (CUANTITATIVA)", "300" 
 "PROTEINA C REACTIVA (PCR)", "230" 
 "PROTEINA C ULTRASENSIBLE", "400" 
 "PROTEINA EN ORINA 24 hrs.", "200" 
 "PROTEINAS TOTALES", "270" 
 "PRUEBA DE EMBARAZO  EN SANGRE (PIE)", "130" 
 "PRUEBA DE EMBARAZO EN ORINA  (PIE)", "120" 
 "PRUEBA DE GRAHAM  (OXIUROS)", "75" 
 "PRUEBAS CRUZADAS", "200" 
 "REACCIONES FEBRILES", "150" 
 "RECUENTO DE ADDIS (3 HORAS) SOLO EN MERIDA SE HACE", "0" 
 "RETICULOCITOS", "200" 
 "Rotavirus, Astrovirus y Adenovirus en Materia Fecal", "510" 
 "SANGRE OCULTA (SOH)", "100" 
 "SOMATOMEDINA C (IGF-1)", "780" 
 "T3 LIBRE", "340" 
 "T3 TOTAL", "340" 
 "T4 LIBRE", "340" 
 "T4 TOTAL", "340" 
 "TAMIZ DE GLUCOSA CON 75 gr DE 1 HR.", "450" 
 "TESTOSTERONA LIBRE Y TOTAL(AMBAS)", "900" 
 "TESTOSTERONA TOTAL", "340" 
 "TESTOSTERONA LIBRE", "500" 
 "TGO", "90" 
 "TGP", "90" 
 "VASOPRESINA", "0" 
 "WESTER BLOT (CONFIRMATORIA DE VIH)", "2,300" 
 "Zika IgG e IgM ", "750" 
 "Ac. ANTIENDOMISIO", "0" 
 "ANTI TRANSGLUTAMINA IgA e IgG", "0" 
 "GONORREA", "200" 
 "INFLUENZA", "495" 
 "ANA-DNA", "1,130" 
 "BH", "170" 
 "UROCULTIVO", "500" 
 "TOSFERINA BORDETELA PERTUSIS", "1,300" 
 "TOSFERINA (PANEL RESPIRATORIO)", "2,450" 
 "CPS", "90" 
 "SOH", "90" 
 "INDICE HOMA", "435" 
